input,output
"('demasiadas', 'Predicate', 'lágrimas', 'Concept')",domain
"('pocas', 'Predicate', 'lágrimas', 'Concept')",domain
"('problemas', 'Action', 'conductos lagrimales', 'Concept')",target
"('producción', 'Action', 'problemas', 'Action')",is-a
"('problemas', 'Action', 'problemas', 'Action')",is-a
"('ocurre', 'Action', 'eso', 'Reference')",target
"('nivel', 'Predicate', 'azúcar', 'Concept')",arg
"('nivel', 'Predicate', 'sangre', 'Concept')",in-place
"('nivel', 'Predicate', 'bajo', 'Concept')",in-context
"('bajo', 'Concept', 'peligrosamente', 'Concept')",in-context
"('ocurre', 'Action', 'hipoglicemia', 'Concept')",entails
"('ocurre', 'Action', 'nivel', 'Predicate')",entails
"('recomendarle', 'Action', 'médico', 'Concept')",subject
"('recomendarle', 'Action', 'el', 'Reference')",target
"('recomendarle', 'Action', 'dolor', 'Action')",in-context
"('recomendarle', 'Action', 'otros', 'Predicate')",in-context
"('dolor', 'Action', 'rodilla', 'Concept')",target
"('otros', 'Predicate', 'tratamientos', 'Concept')",domain
"('otros', 'Predicate', 'el', 'Reference')",arg
"('otros', 'Predicate', 'efectivos', 'Concept')",in-context
"('el', 'Reference', 'procedimiento', 'Concept')",is-a
"('ayudarle', 'Action', 'sentirse', 'Action')",target
"('ayudarle', 'Action', 'algunas', 'Predicate')",subject
"('sentirse', 'Action', 'energía', 'Concept')",target
"('sentirse', 'Action', 'siguiente', 'Predicate')",in-time
"('sentirse', 'Action', 'descansado', 'Concept')",target
"('siguiente', 'Predicate', 'día', 'Concept')",domain
"('algunas', 'Predicate', 'fases del sueño', 'Concept')",domain
"('bajo', 'Predicate', 'hdl', 'Concept')",domain
"('alto', 'Predicate', 'ldl', 'Concept')",domain
"('necesite', 'Action', 'medicamentos', 'Concept')",target
"('tiene', 'Action', 'bajo', 'Predicate')",target
"('tiene', 'Action', 'alto', 'Predicate')",target
"('tiene', 'Action', 'necesite', 'Action')",entails
"('reparación', 'Action', 'sistema', 'Concept')",subject
"('reparación', 'Action', 'organismo', 'Concept')",target
"('ellas', 'Reference', 'reparación', 'Action')",has-property
"('todas', 'Predicate', 'con', 'Predicate')",domain
"('desarrollan', 'Action', 'sida', 'Concept')",target
"('desarrollan', 'Action', 'todas', 'Predicate')",subject
"('con', 'Predicate', 'vih', 'Concept')",arg
"('produce', 'Action', 'suficiente', 'Predicate')",target
"('suficiente', 'Predicate', 'insulina', 'Concept')",domain
"('utiliza', 'Action', 'bien', 'Concept')",in-context
"('utiliza', 'Action', 'cuerpo', 'Concept')",subject
"('utiliza', 'Action', 'insulina', 'Concept')",target
"('resistencia', 'Action', 'insulina', 'Concept')",target
"('esto', 'Reference', 'diabetes tipo 2', 'Concept')",in-context
"('esto', 'Reference', 'produce', 'Action')",entails
"('esto', 'Reference', 'utiliza', 'Action')",entails
"('utiliza', 'Action', 'resistencia', 'Action')",is-a
"('produce', 'Action', 'resistencia', 'Action')",is-a
"('saber', 'Action', 'tiene', 'Action')",target
"('tiene', 'Action', 'enfermedad renal', 'Concept')",target
"('saber', 'Action', 'análisis de orina', 'Concept')",entails
"('saber', 'Action', 'análisis de sangre', 'Concept')",entails
"('ocurre', 'Action', 'síndrome de klinefelter', 'Concept')",subject
"('ocurre', 'Action', 'hombres', 'Concept')",target
"('cromosoma x', 'Concept', 'adicional', 'Concept')",in-context
"('cromosoma x', 'Concept', 'mayoría', 'Predicate')",in-place
"('mayoría', 'Predicate', 'células', 'Concept')",domain
"('células', 'Concept', 'hombres', 'Concept')",in-place
"('hombres', 'Concept', 'cromosoma x', 'Concept')",in-context
"('síndrome de klinefelter', 'Concept', 'cuadro', 'Concept')",is-a
"('setas', 'Concept', 'hongos', 'Concept')",is-a
"('moho', 'Concept', 'hongos', 'Concept')",is-a
"('intentos', 'Action', 'suicidio', 'Concept')",target
"('intentos', 'Action', 'adolescentes', 'Concept')",subject
"('intentos', 'Action', 'mujeres', 'Concept')",subject
"('algunos', 'Predicate', 'medicamentos', 'Concept')",domain
"('aliviar', 'Action', 'síntomas', 'Concept')",target
"('aliviar', 'Action', 'dolor', 'Action')",target
"('tamaño', 'Predicate', 'almendra', 'Concept')",arg
"('forma', 'Predicate', 'almendra', 'Concept')",arg
"('ovario', 'Concept', 'tamaño', 'Predicate')",has-property
"('ovario', 'Concept', 'forma', 'Predicate')",has-property
"('actividades', 'Concept', 'anormales', 'Concept')",in-context
"('actividades', 'Concept', 'lados', 'Predicate')",in-place
"('lados', 'Predicate', 'cerebro', 'Concept')",domain
"('actividades', 'Concept', 'convulsiones generalizadas', 'Concept')",causes
"('personas', 'Concept', 'enfermedades', 'Concept')",in-context
"('enfermedades', 'Concept', 'respiratorias', 'Concept')",in-context
"('recibir', 'Action', 'personas', 'Concept')",subject
"('recibir', 'Action', 'rehabilitación pulmonar', 'Concept')",target
"('respirar', 'Action', 'personas', 'Concept')",subject
"('respirar', 'Action', 'mejor', 'Concept')",in-context
"('mejorar', 'Action', 'personas', 'Concept')",subject
"('mejorar', 'Action', 'calidad de vida', 'Concept')",target
"('recibir', 'Action', 'respirar', 'Action')",causes
"('recibir', 'Action', 'mejorar', 'Action')",causes
"('fallar', 'Action', 'riñones', 'Concept')",target
"('continúa', 'Action', 'daño', 'Concept')",target
"('continúa', 'Action', 'fallar', 'Action')",causes
"('trastorno', 'Action', 'hereditario', 'Concept')",in-context
"('trastorno', 'Action', 'coagulación', 'Concept')",target
"('hemofilia', 'Concept', 'trastorno', 'Action')",is-a
"('disuelve', 'Action', 'normalmente', 'Concept')",in-context
"('disuelve', 'Action', 'sangre', 'Concept')",in-place
"('disuelve', 'Action', 'ácido úrico', 'Concept')",subject
"('pasa', 'Action', 'riñones', 'Concept')",in-place
"('pasa', 'Action', 'ácido úrico', 'Concept')",subject
"('sale', 'Action', 'ácido úrico', 'Concept')",subject
"('sale', 'Action', 'cuerpo', 'Concept')",target
"('sale', 'Action', 'orina', 'Concept')",in-place
"('dentaduras', 'Concept', 'postizas', 'Concept')",in-context
"('hacen', 'Action', 'dentaduras', 'Concept')",target
"('dientes', 'Concept', 'falsos', 'Concept')",in-context
"('pierden', 'Action', 'dientes', 'Concept')",target
"('reemplazar', 'Action', 'pierden', 'Action')",target
"('reemplazar', 'Action', 'dentaduras', 'Concept')",target
"('dentaduras', 'Concept', 'dientes', 'Concept')",is-a
"('hacen', 'Action', 'reemplazar', 'Action')",entails
"('convierte', 'Action', 'computadora', 'Concept')",subject
"('convierte', 'Action', 'ecos', 'Predicate')",target
"('convierte', 'Action', 'imágenes', 'Predicate')",target
"('ecos', 'Predicate', 'corazón', 'Concept')",arg
"('imágenes', 'Predicate', 'corazón', 'Concept')",arg
"('con', 'Predicate', 'vih/sida', 'Concept')",arg
"('enfermedades', 'Concept', 'comunes', 'Concept')",in-context
"('complicaciones', 'Action', 'enfermedades', 'Concept')",subject
"('sufrir', 'Action', 'complicaciones', 'Action')",target
"('sufrir', 'Action', 'con', 'Predicate')",subject
"('gripe', 'Concept', 'enfermedades', 'Concept')",is-a
"('inspección', 'Action', 'adecuada', 'Concept')",in-context
"('inspección', 'Action', 'máquinas', 'Concept')",target
"('mantenimiento', 'Action', 'adecuada', 'Concept')",in-context
"('mantenimiento', 'Action', 'máquinas', 'Concept')",target
"('prevenir', 'Action', 'accidentes', 'Concept')",target
"('ayudar', 'Action', 'inspección', 'Action')",subject
"('ayudar', 'Action', 'mantenimiento', 'Action')",subject
"('ayudar', 'Action', 'prevenir', 'Action')",target
"('pilas', 'Concept', 'viejas', 'Concept')",in-context
"('insecticidas', 'Concept', 'aerosol', 'Concept')",in-context
"('pilas', 'Concept', 'desperdicios tóxicos', 'Concept')",is-a
"('insecticidas', 'Concept', 'desperdicios tóxicos', 'Concept')",is-a
"('diluyente de pintura', 'Concept', 'desperdicios tóxicos', 'Concept')",is-a
"('desperdicios tóxicos', 'Concept', 'basura', 'Concept')",part-of
"('26', 'Predicate', 'huesos', 'Concept')",domain
"('26', 'Predicate', 'vértebras', 'Concept')",same-as
"('26', 'Predicate', 'columna vertebral', 'Concept')",part-of
"('sobrellevar', 'Action', 'dolor', 'Concept')",target
"('asesoría', 'Concept', 'sobrellevar', 'Action')",causes
"('síntomas', 'Concept', 'prematuros', 'Concept')",in-context
"('dolor', 'Action', 'espalda', 'Concept')",target
"('rigidez', 'Action', 'espalda', 'Concept')",target
"('rigidez', 'Action', 'síntomas', 'Concept')",is-a
"('estiramiento', 'Action', 'músculo', 'Concept')",target
"('masaje', 'Action', 'suave', 'Concept')",in-context
"('masaje', 'Action', 'músculo', 'Concept')",target
"('aliviar', 'Action', 'estiramiento', 'Action')",subject
"('aliviar', 'Action', 'masaje', 'Action')",subject
"('linfocitos', 'Concept', 'glóbulos blancos', 'Concept')",is-a
"('leucemia linfocítica crónica', 'Concept', 'linfocitos', 'Concept')",entails
"('mayoría', 'Predicate', 'arritmias', 'Concept')",domain
"('sistema eléctrico', 'Concept', 'corazón', 'Concept')",in-context
"('problemas', 'Action', 'sistema eléctrico', 'Concept')",target
"('problemas', 'Action', 'mayoría', 'Predicate')",causes
"('momentos', 'Concept', 'diferentes', 'Concept')",in-context
"('comienza', 'Action', 'persona', 'Concept')",target
"('comienza', 'Action', 'momentos', 'Concept')",in-time
"('comienza', 'Action', 'dependiendo', 'Action')",subject
"('dependiendo', 'Action', 'persona', 'Concept')",target
"('afectar', 'Action', 'capacidad', 'Predicate')",target
"('afectar', 'Action', 'eso', 'Reference')",subject
"('capacidad', 'Predicate', 'caminar', 'Action')",arg
"('controlar', 'Action', 'cabeza', 'Concept')",target
"('controlar', 'Action', 'cuello', 'Concept')",target
"('capacidad', 'Predicate', 'tragar', 'Action')",arg
"('capacidad', 'Predicate', 'respirar', 'Action')",arg
"('capacidad', 'Predicate', 'gatear', 'Action')",arg
"('capacidad', 'Predicate', 'controlar', 'Action')",arg
"('virus de las paperas', 'Concept', 'paperas', 'Concept')",causes
"('polvo', 'Concept', 'blanco', 'Concept')",in-context
"('cocaína', 'Concept', 'polvo', 'Concept')",is-a
"('comer', 'Action', 'demasiado', 'Concept')",in-context
"('comer', 'Action', 'rápido', 'Concept')",in-context
"('alimentos', 'Concept', 'grasosos', 'Concept')",in-context
"('comer', 'Action', 'estrés', 'Concept')",in-context
"('comer', 'Action', 'indigestión', 'Concept')",causes
"('ingerir', 'Action', 'indigestión', 'Concept')",causes
"('picazón', 'Action', 'causa', 'Concept')",in-context
"('picazón', 'Action', 'todo', 'Predicate')",in-place
"('todo', 'Predicate', 'cuerpo', 'Concept')",domain
"('vuelven', 'Action', 'aparecer', 'Action')",target
"('vuelven', 'Action', 'ronchas', 'Concept')",subject
"('aparecer', 'Action', 'ronchas', 'Concept')",target
"('necesitar', 'Action', 'atención médica', 'Concept')",target
"('necesitar', 'Action', 'picazón', 'Action')",in-context
"('necesitar', 'Action', 'vuelven', 'Action')",in-context
"('necesitar', 'Action', 'siente', 'Action')",in-context
"('siente', 'Action', 'picazón', 'Action')",target
"('expone', 'Action', 'lo', 'Reference')",target
"('expone', 'Action', 'rayos', 'Concept')",target
"('rayos', 'Concept', 'dañinos', 'Concept')",in-context
"('aumenta', 'Action', 'riesgo', 'Predicate')",target
"('riesgo', 'Predicate', 'problemas', 'Action')",arg
"('riesgo', 'Predicate', 'melanoma', 'Concept')",arg
"('riesgo', 'Predicate', 'cáncer de piel', 'Concept')",arg
"('melanoma', 'Concept', 'cáncer de piel', 'Concept')",is-a
"('cáncer de piel', 'Concept', 'problemas', 'Action')",is-a
"('lo', 'Reference', 'aumenta', 'Action')",causes
"('utiliza', 'Action', 'tintes de contraste', 'Concept')",target
"('utiliza', 'Action', 'radiografías', 'Concept')",target
"('utiliza', 'Action', 'angiografía', 'Concept')",subject
"('observar', 'Action', 'interior', 'Predicate')",target
"('interior', 'Predicate', 'arterias', 'Concept')",arg
"('angiografía', 'Concept', 'angiograma de corazón', 'Concept')",same-as
"('angiograma de corazón', 'Concept', 'procedimiento', 'Concept')",is-a
"('negarse', 'Action', 'agresión', 'Action')",target
"('negarse', 'Action', 'víctima', 'Concept')",subject
"('defenderse', 'Action', 'agresión', 'Action')",target
"('defenderse', 'Action', 'víctima', 'Concept')",subject
"('agresión', 'Action', 'sexual', 'Concept')",target
"('droga', 'Concept', 'negarse', 'Action')",entails
"('droga', 'Concept', 'defenderse', 'Action')",entails
"('parte posterior', 'Predicate', 'ojo', 'Concept')",domain
"('percibe', 'Action', 'retina', 'Concept')",subject
"('percibe', 'Action', 'luz', 'Concept')",target
"('envía', 'Action', 'retina', 'Concept')",subject
"('envía', 'Action', 'imágenes', 'Concept')",target
"('envía', 'Action', 'cerebro', 'Concept')",target
"('retina', 'Concept', 'capa de tejido', 'Concept')",is-a
"('capa de tejido', 'Concept', 'parte posterior', 'Predicate')",part-of
"('tratamiento', 'Action', 'produce', 'Action')",target
"('produce', 'Action', 'enfermedad', 'Concept')",subject
"('produce', 'Action', 'incomodidad', 'Concept')",target
"('produce', 'Action', 'estrés', 'Concept')",target
"('produce', 'Action', 'síntomas', 'Concept')",target
"('cuidados paliativos', 'Concept', 'tratamiento', 'Action')",same-as
"('dado', 'Action', 'usted', 'Concept')",subject
"('dado', 'Action', 'autorización', 'Concept')",target
"('violación', 'Concept', 'actividad sexual', 'Concept')",is-a
"('dado', 'Action', 'violación', 'Concept')",entails
"('juega', 'Action', 'vitamina d', 'Concept')",subject
"('juega', 'Action', 'sistema nervioso', 'Concept')",in-place
"('juega', 'Action', 'rol', 'Concept')",target
"('juega', 'Action', 'sistema muscular', 'Concept')",in-place
"('várices', 'Concept', 'comunes', 'Concept')",has-property
"('abuso', 'Action', 'alcohol', 'Concept')",target
"('alcoholismo', 'Concept', 'esto', 'Reference')",is-a
"('abuso', 'Action', 'esto', 'Reference')",is-a
"('reconstruir', 'Action', 'mama', 'Concept')",target
"('reconstruir', 'Action', 'cirujano', 'Concept')",subject
"('diferentes', 'Predicate', 'maneras', 'Concept')",domain
"('reconstruir', 'Action', 'diferentes', 'Predicate')",has-property
"('persona', 'Concept', 'diagnóstico', 'Concept')",in-context
"('diagnóstico', 'Concept', 'doble', 'Concept')",in-context
"('problema', 'Action', 'drogas', 'Concept')",target
"('problema', 'Action', 'alcohol', 'Concept')",target
"('problema', 'Action', 'mental', 'Concept')",in-context
"('mismo', 'Predicate', 'tiempo', 'Concept')",arg
"('tiene', 'Action', 'persona', 'Concept')",subject
"('tiene', 'Action', 'problema', 'Action')",target
"('tiene', 'Action', 'mismo', 'Predicate')",in-time
"('signo', 'Action', 'indigestión', 'Concept')",subject
"('signo', 'Action', 'más', 'Predicate')",target
"('más', 'Predicate', 'problema', 'Concept')",domain
"('más', 'Predicate', 'serio', 'Concept')",arg
"('más', 'Predicate', 'indigestión', 'Concept')",arg
"('cambios', 'Action', 'adolescencia', 'Concept')",in-time
"('mordeduras', 'Action', 'animales', 'Concept')",subject
"('vida', 'Concept', 'peligro', 'Concept')",in-context
"('ponen', 'Action', 'mordeduras', 'Action')",subject
"('ponen', 'Action', 'vida', 'Concept')",target
"('infectan', 'Action', 'mordeduras', 'Action')",target
"('problemas', 'Concept', 'médicos', 'Concept')",in-context
"('infectan', 'Action', 'problemas', 'Concept')",causes
"('inflamarse', 'Action', 'testículos', 'Concept')",target
"('infectarse', 'Action', 'testículos', 'Concept')",target
"('mensajeros', 'Concept', 'cuerpo', 'Concept')",in-place
"('mensajeros', 'Concept', 'químicos', 'Concept')",in-context
"('hormonas', 'Concept', 'mensajeros', 'Concept')",same-as
"('permite', 'Action', 'olfato', 'Concept')",subject
"('permite', 'Action', 'disfrutar', 'Action')",target
"('disfrutar', 'Action', 'fragancias', 'Concept')",target
"('disfrutar', 'Action', 'esencias', 'Concept')",target
"('rosas', 'Concept', 'esencias', 'Concept')",is-a
"('rosas', 'Concept', 'fragancias', 'Concept')",is-a
"('café', 'Concept', 'esencias', 'Concept')",is-a
"('café', 'Concept', 'fragancias', 'Concept')",is-a
"('radioterapia', 'Concept', 'tratamiento', 'Concept')",is-a
"('quimioterapia', 'Concept', 'tratamiento', 'Concept')",is-a
"('exámenes', 'Action', 'tiroides', 'Concept')",target
"('análisis', 'Action', 'exámenes', 'Action')",is-a
"('pruebas', 'Action', 'exámenes', 'Action')",is-a
"('lentos', 'Action', 'otras', 'Reference')",subject
"('lentos', 'Action', 'latidos', 'Action')",target
"('latidos', 'Action', 'corazón', 'Concept')",subject
"('aflojan', 'Action', 'vasos sanguíneos', 'Concept')",target
"('aflojan', 'Action', 'otras', 'Reference')",subject
"('ensanchan', 'Action', 'vasos sanguíneos', 'Concept')",target
"('ensanchan', 'Action', 'otras', 'Reference')",subject
"('idas', 'Action', 'resultados', 'Concept')",in-context
"('idas', 'Action', 'baño', 'Concept')",target
"('resultados', 'Concept', 'exitosos', 'Concept')",in-context
"('deberían', 'Action', 'idas', 'Action')",subject
"('deberían', 'Action', 'recompensarse', 'Action')",target
"('funcionan', 'Action', 'antibióticos', 'Concept')",subject
"('funcionan', 'Action', 'infecciones virales', 'Concept')",target
